name;company;technology;job;location.city;location.country;salary.low;salary.high;salary.currency
Senior Data Engineer;Showpad;['Data', 'SQL', 'Data Lake', 'Python'];data engineer;Wroclaw;PL;22000;30000;PLN
Senior Data Engineer - Remote;Link Group;['Data', 'SQL', 'Data pipelines', 'Cloud computing'];data engineer;Zdalna;N/A;26880;31920;PLN
Snowflake Data Engineer;GTV POLAND;['Data', 'Snowflake', 'ETL', 'Python'];data engineer;Zdalna;N/A;14000;18000;PLN
Data Engineer;Finture;['Data', 'Bash', 'GCP', 'Storage'];data engineer;Warszawa;PL;20000;27000;PLN
Senior Data Engineer (Azure);GetInData | Part of Xebia;['Data', 'Microsoft azure', 'Python', 'SQL'];data engineer;Zdalna;N/A;26880;33600;PLN
Data Engineer;Sollers Consulting;['Data', 'Kafka', 'Spark', 'SQL'];data engineer;Wrocław;PL;17200;21000;PLN
Remote Lead Data Engineer;Kingfisher plc.;['Data', 'Python', 'Data modelling', 'Azure'];data engineer;Zdalna;N/A;25000;29000;PLN
Cybersecurity Engineer - Data Protection, Cracow;Genuine Parts Company;['Security', 'Degree', 'MDM', 'DLP'];data engineer;Kraków;PL;0;0;N/A
Senior Data Engineer;AVENGA;['Data', 'BI', 'ETL', 'SQL'];data engineer;Zdalna;N/A;25200;28560;PLN
Remote Senior Data Engineer;Avenga;['Data', 'Data Lake', 'DWH', 'Snowflake'];data engineer;Zdalna;N/A;0;0;N/A
Lead Data Engineer;Digital Hub Warsaw at Bayer;['Data', 'Python', 'AWS', 'Snowflake'];data engineer;Warsaw;PL;25000;35000;PLN
Python/Scala Software Engineer for Big Data;AXA IT Solutions;['Data', 'Python', 'Spark', 'Databricks'];data engineer;Warszawa;PL;15960;25200;PLN
Data Engineer (Kafka) - Remote;Link Group;['Data', 'Kafka', 'SQL', 'Python'];data engineer;Zdalna;N/A;27000;31000;PLN
Senior Big Data Engineer (Scala) - Data & AI;Allegro;['Data', 'Scala', 'Java', 'Hadoop'];data engineer;Warszawa;PL;16100;23200;PLN
Senior Big Data Engineer (Scala/Python) - Data&AI;Allegro;['Data', 'Scala', 'Python', 'Java'];data engineer;Warszawa;PL;16100;23200;PLN
Medior/Senior Data Engineer Scala;NIX Tech Kft.;['Data', 'Scala', 'SQL', 'Data engineering'];data engineer;Budapest;HU;8153;16306;PLN
Data Engineer ETL/GCP;PKO Finat Sp. z o.o.;['Data', 'Bash', 'ETL', 'GCP'];data engineer;Warszawa;PL;13440;25200;PLN
Data Engineer;JSS Associates;['Data', 'Spark', 'Hive', 'Hadoop'];data engineer;Zdalna;N/A;39900;48300;PLN
