name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency;salary_avg;is_senior
Senior Data Engineer;Showpad;['Data', 'SQL', 'Data Lake', 'Python'];data engineer;Wrocław;PL;22000;30000;PLN;26000.0;1
Senior Data Engineer - Remote;Link Group;['Data', 'SQL', 'Data pipelines', 'Cloud computing'];data engineer;Zdalna;B/D;26880;31920;PLN;29400.0;1
Snowflake Data Engineer;GTV POLAND;['Data', 'Snowflake', 'ETL', 'Python'];data engineer;Zdalna;B/D;14000;18000;PLN;16000.0;0
Data Engineer;Finture;['Data', 'Bash', 'GCP', 'Storage'];data engineer;Warszawa;PL;20000;27000;PLN;23500.0;0
Senior Data Engineer (Azure);GetInData | Part of Xebia;['Data', 'Microsoft azure', 'Python', 'SQL'];data engineer;Zdalna;B/D;26880;33600;PLN;30240.0;1
Data Engineer;Sollers Consulting;['Data', 'Kafka', 'Spark', 'SQL'];data engineer;Wrocław;PL;17200;21000;PLN;19100.0;0
Remote Lead Data Engineer;Kingfisher plc.;['Data', 'Python', 'Data modelling', 'Azure'];data engineer;Zdalna;B/D;25000;29000;PLN;27000.0;0
Senior Data Engineer;AVENGA;['Data', 'BI', 'ETL', 'SQL'];data engineer;Zdalna;B/D;25200;28560;PLN;26880.0;1
Lead Data Engineer;Digital Hub Warsaw at Bayer;['Data', 'Python', 'AWS', 'Snowflake'];data engineer;Warszawa;PL;25000;35000;PLN;30000.0;0
Python/Scala Software Engineer for Big Data;AXA IT Solutions;['Data', 'Python', 'Spark', 'Databricks'];data engineer;Warszawa;PL;15960;25200;PLN;20580.0;0
Data Engineer (Kafka) - Remote;Link Group;['Data', 'Kafka', 'SQL', 'Python'];data engineer;Zdalna;B/D;27000;31000;PLN;29000.0;0
Senior Big Data Engineer (Scala) - Data & AI;Allegro;['Data', 'Scala', 'Java', 'Hadoop'];data engineer;Warszawa;PL;16100;23200;PLN;19650.0;1
Senior Big Data Engineer (Scala/Python) - Data&AI;Allegro;['Data', 'Scala', 'Python', 'Java'];data engineer;Warszawa;PL;16100;23200;PLN;19650.0;1
Medior/Senior Data Engineer Scala;NIX Tech Kft.;['Data', 'Scala', 'SQL', 'Data engineering'];data engineer;Budapest;HU;8153;16306;PLN;12229.5;1
